index,sub_index,source,theme,all_messages,message_evaluation,Fatalism_DivineControl,Fatalism_Luck,Fatalism_Internality-R,Fatalism_General
0,sub001,AI,Migrant Workers,clarity_ai_mw_01_1 ,5,4.83,2.75,1.4,3.25
117,sub001,AI,Migrant Workers,clarity_ai_mw_02_1,4,4.83,2.75,1.4,3.25
234,sub001,AI,Migrant Workers,clarity_ai_mw_03_1,4,4.83,2.75,1.4,3.25
351,sub001,AI,Migrant Workers,clarity_ai_mw_04_1,3,4.83,2.75,1.4,3.25
468,sub001,AI,Migrant Workers,clarity_ai_mw_05_1,4,4.83,2.75,1.4,3.25
585,sub001,AI,Women Drivers,clarity_ai_wd_01_1,4,4.83,2.75,1.4,3.25
702,sub001,AI,Women Drivers,clarity_ai_wd_02_1,4,4.83,2.75,1.4,3.25
819,sub001,AI,Women Drivers,clarity_ai_wd_03_1,4,4.83,2.75,1.4,3.25
936,sub001,AI,Women Drivers,clarity_ai_wd_04_1,4,4.83,2.75,1.4,3.25
1053,sub001,AI,Women Drivers,clarity_ai_wd_05_1,5,4.83,2.75,1.4,3.25
1170,sub001,AI,Young Drivers,clarity_ai_yd_01_1,4,4.83,2.75,1.4,3.25
1287,sub001,AI,Young Drivers,clarity_ai_yd_02_1,4,4.83,2.75,1.4,3.25
1404,sub001,AI,Young Drivers,clarity_ai_yd_03_1,4,4.83,2.75,1.4,3.25
1521,sub001,AI,Young Drivers,clarity_ai_yd_04_1,5,4.83,2.75,1.4,3.25
1638,sub001,AI,Young Drivers,clarity_ai_yd_05_1,4,4.83,2.75,1.4,3.25
1755,sub001,Human,Migrant Workers,clarity_hum_mw_01_1,5,4.83,2.75,1.4,3.25
1872,sub001,Human,Migrant Workers,clarity_hum_mw_02_1,5,4.83,2.75,1.4,3.25
1989,sub001,Human,Migrant Workers,clarity_hum_mw_03_1,5,4.83,2.75,1.4,3.25
2106,sub001,Human,Migrant Workers,clarity_hum_mw_04_1,5,4.83,2.75,1.4,3.25
2223,sub001,Human,Migrant Workers,clarity_hum_mw_05_1,5,4.83,2.75,1.4,3.25
2340,sub001,Human,Women Drivers,clarity_hum_wd_01_1,5,4.83,2.75,1.4,3.25
2457,sub001,Human,Women Drivers,clarity_hum_wd_02_1,5,4.83,2.75,1.4,3.25
2574,sub001,Human,Women Drivers,clarity_hum_wd_03_1,4,4.83,2.75,1.4,3.25
2691,sub001,Human,Women Drivers,clarity_hum_wd_04_1,4,4.83,2.75,1.4,3.25
2808,sub001,Human,Women Drivers,clarity_hum_wd_05_1,5,4.83,2.75,1.4,3.25
2925,sub001,Human,Young Drivers,clarity_hum_yd_01_1,5,4.83,2.75,1.4,3.25
3042,sub001,Human,Young Drivers,clarity_hum_yd_02_1,4,4.83,2.75,1.4,3.25
3159,sub001,Human,Young Drivers,clarity_hum_yd_03_1,4,4.83,2.75,1.4,3.25
3276,sub001,Human,Young Drivers,clarity_hum_yd_04_1,5,4.83,2.75,1.4,3.25
3393,sub001,Human,Young Drivers,clarity_hum_yd_05_1,5,4.83,2.75,1.4,3.25
1,sub002,AI,Migrant Workers,clarity_ai_mw_01_1 ,4,5.0,3.25,2.4,2.75
118,sub002,AI,Migrant Workers,clarity_ai_mw_02_1,3,5.0,3.25,2.4,2.75
235,sub002,AI,Migrant Workers,clarity_ai_mw_03_1,3,5.0,3.25,2.4,2.75
352,sub002,AI,Migrant Workers,clarity_ai_mw_04_1,1,5.0,3.25,2.4,2.75
469,sub002,AI,Migrant Workers,clarity_ai_mw_05_1,3,5.0,3.25,2.4,2.75
586,sub002,AI,Women Drivers,clarity_ai_wd_01_1,5,5.0,3.25,2.4,2.75
703,sub002,AI,Women Drivers,clarity_ai_wd_02_1,4,5.0,3.25,2.4,2.75
820,sub002,AI,Women Drivers,clarity_ai_wd_03_1,3,5.0,3.25,2.4,2.75
937,sub002,AI,Women Drivers,clarity_ai_wd_04_1,2,5.0,3.25,2.4,2.75
1054,sub002,AI,Women Drivers,clarity_ai_wd_05_1,2,5.0,3.25,2.4,2.75
1171,sub002,AI,Young Drivers,clarity_ai_yd_01_1,2,5.0,3.25,2.4,2.75
1288,sub002,AI,Young Drivers,clarity_ai_yd_02_1,1,5.0,3.25,2.4,2.75
1405,sub002,AI,Young Drivers,clarity_ai_yd_03_1,3,5.0,3.25,2.4,2.75
1522,sub002,AI,Young Drivers,clarity_ai_yd_04_1,3,5.0,3.25,2.4,2.75
1639,sub002,AI,Young Drivers,clarity_ai_yd_05_1,3,5.0,3.25,2.4,2.75
1756,sub002,Human,Migrant Workers,clarity_hum_mw_01_1,3,5.0,3.25,2.4,2.75
1873,sub002,Human,Migrant Workers,clarity_hum_mw_02_1,3,5.0,3.25,2.4,2.75
1990,sub002,Human,Migrant Workers,clarity_hum_mw_03_1,3,5.0,3.25,2.4,2.75
2107,sub002,Human,Migrant Workers,clarity_hum_mw_04_1,3,5.0,3.25,2.4,2.75
2224,sub002,Human,Migrant Workers,clarity_hum_mw_05_1,5,5.0,3.25,2.4,2.75
2341,sub002,Human,Women Drivers,clarity_hum_wd_01_1,5,5.0,3.25,2.4,2.75
2458,sub002,Human,Women Drivers,clarity_hum_wd_02_1,3,5.0,3.25,2.4,2.75
2575,sub002,Human,Women Drivers,clarity_hum_wd_03_1,1,5.0,3.25,2.4,2.75
2692,sub002,Human,Women Drivers,clarity_hum_wd_04_1,5,5.0,3.25,2.4,2.75
2809,sub002,Human,Women Drivers,clarity_hum_wd_05_1,3,5.0,3.25,2.4,2.75
2926,sub002,Human,Young Drivers,clarity_hum_yd_01_1,3,5.0,3.25,2.4,2.75
3043,sub002,Human,Young Drivers,clarity_hum_yd_02_1,5,5.0,3.25,2.4,2.75
3160,sub002,Human,Young Drivers,clarity_hum_yd_03_1,1,5.0,3.25,2.4,2.75
3277,sub002,Human,Young Drivers,clarity_hum_yd_04_1,3,5.0,3.25,2.4,2.75
3394,sub002,Human,Young Drivers,clarity_hum_yd_05_1,3,5.0,3.25,2.4,2.75
2,sub003,AI,Migrant Workers,clarity_ai_mw_01_1 ,4,2.0,2.0,4.0,2.0
119,sub003,AI,Migrant Workers,clarity_ai_mw_02_1,3,2.0,2.0,4.0,2.0
236,sub003,AI,Migrant Workers,clarity_ai_mw_03_1,5,2.0,2.0,4.0,2.0
353,sub003,AI,Migrant Workers,clarity_ai_mw_04_1,1,2.0,2.0,4.0,2.0
470,sub003,AI,Migrant Workers,clarity_ai_mw_05_1,4,2.0,2.0,4.0,2.0
587,sub003,AI,Women Drivers,clarity_ai_wd_01_1,3,2.0,2.0,4.0,2.0
704,sub003,AI,Women Drivers,clarity_ai_wd_02_1,4,2.0,2.0,4.0,2.0
821,sub003,AI,Women Drivers,clarity_ai_wd_03_1,3,2.0,2.0,4.0,2.0
938,sub003,AI,Women Drivers,clarity_ai_wd_04_1,3,2.0,2.0,4.0,2.0
1055,sub003,AI,Women Drivers,clarity_ai_wd_05_1,2,2.0,2.0,4.0,2.0
1172,sub003,AI,Young Drivers,clarity_ai_yd_01_1,1,2.0,2.0,4.0,2.0
1289,sub003,AI,Young Drivers,clarity_ai_yd_02_1,3,2.0,2.0,4.0,2.0
1406,sub003,AI,Young Drivers,clarity_ai_yd_03_1,1,2.0,2.0,4.0,2.0
1523,sub003,AI,Young Drivers,clarity_ai_yd_04_1,1,2.0,2.0,4.0,2.0
1640,sub003,AI,Young Drivers,clarity_ai_yd_05_1,2,2.0,2.0,4.0,2.0
1757,sub003,Human,Migrant Workers,clarity_hum_mw_01_1,4,2.0,2.0,4.0,2.0
1874,sub003,Human,Migrant Workers,clarity_hum_mw_02_1,5,2.0,2.0,4.0,2.0
1991,sub003,Human,Migrant Workers,clarity_hum_mw_03_1,3,2.0,2.0,4.0,2.0
2108,sub003,Human,Migrant Workers,clarity_hum_mw_04_1,3,2.0,2.0,4.0,2.0
2225,sub003,Human,Migrant Workers,clarity_hum_mw_05_1,5,2.0,2.0,4.0,2.0
2342,sub003,Human,Women Drivers,clarity_hum_wd_01_1,4,2.0,2.0,4.0,2.0
2459,sub003,Human,Women Drivers,clarity_hum_wd_02_1,3,2.0,2.0,4.0,2.0
