Duration (in seconds),Finished,UserLanguage,clarity_ai_mw_01_1,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITY_AI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITY_HUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGE_QUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGE_QUALITY_HUMAN,age,young_binary,gender_1man_2woman,woman_binary,man_binary,nationality,migrant_binary,work,work_binary,car_driving,driving_binary,women_driver_status,migrant_worker_status,young_driver_status
300,1,EN,2,3,5,5,5,4,5,4,4,5,4,5,5,5,4,4.33,5,5,5,5,5,4,5,5,5,,5,5,4,5,5,4.86,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4.73,5,,5,5,5,5,5,4,5,4,5,5,5,4,5,4.79,19,1,2,1,,UAE,0,student,0,0.25,1,1,0,1
309,1,EN,3,4,3,4,3,4,3,3,5,4,3,4,2,3,5,3.53,5,5,3,5,3,4,4,3,5,,4,5,2,2,4,3.86,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3.13,4,,3,3,3,3,3,3,4,4,3,3,3,3,5,3.36,30,0,2,1,,non-UAE,1,job,1,13,1,1,1,0
312,1,EN,4,5,4,4,4,5,5,5,4,3,3,5,4,5,4,4.27,4,3,5,5,5,5,4,4,4,,4,5,5,3,3,4.21,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1.4,1,,2,1,1,2,1,2,1,2,2,2,2,1,2,1.57,,0,2,1,,UAE,0,student,0,-99,0,0,0,0
312,1,EN,3,5,5,4,4,5,5,3,5,5,4,5,5,5,5,4.53,5,4,5,5,4,5,5,4,5,,5,5,5,5,5,4.79,3,4,3,5,4,5,4,5,4,5,5,5,3,4,4,4.2,5,,4,4,5,4,4,5,5,5,5,5,4,3,5,4.5,18,1,2,1,,UAE,0,job,1,1,1,1,0,1
318,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,22,0,1,,1,UAE,0,student,0,4,1,0,0,0
325,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,,5,5,5,5,5,4.86,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.13,1,,2,1,1,1,2,1,1,1,1,1,1,1,1,1.14,22,0,2,1,,UAE,0,student,0,1,1,1,0,0
331,1,EN,5,5,5,4,4,5,5,5,4,2,5,5,2,4,5,4.33,5,4,5,5,4,5,5,5,5,,4,4,5,4,5,4.64,5,4,4,4,5,5,5,3,5,3,5,5,3,5,4,4.33,5,,3,4,5,5,5,4,4,5,4,5,4,4,4,4.36,20,1,2,1,,UAE,0,student,0,3,1,1,0,1
334,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.93,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,1,2,1,,UAE,0,student,0,1,1,1,0,1
339,1,EN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,1,2,1,,non-UAE,1,student,0,2,1,1,0,1
350,1,EN,2,1,2,2,2,2,2,3,3,2,3,3,1,2,3,2.2,1,2,2,2,2,3,3,2,3,,4,2,2,2,3,2.36,4,4,5,5,4,3,4,3,4,3,5,5,5,5,4,4.2,5,,3,5,4,5,4,5,4,4,3,4,5,4,3,4.14,21,1,2,1,,UAE,0,job,1,2,1,1,0,1
